Approved symbol	Ensembl ID(supplied by Ensembl)
GAGE4	
EPLG5~withdrawn	
RNU7-139P~withdrawn	
C8orf16~withdrawn	
FRA18A	
OR2W7P~withdrawn	
C20orf89~withdrawn	
MCNAA~withdrawn	
MCDR3	
GAPDHL5~withdrawn	
RCA1	
HCL1	
ANGPT3~withdrawn	
CLAPS2~withdrawn	
OR7A12P~withdrawn	
LINC01238	
AVED~withdrawn	
PPIP5K1P1	
HMGN2P2	
TRY-GTA8-1	
FAM32DP	
BCP~withdrawn	
TRV-AAC1-2	
COX8BP	
RPS28P9	
NICN2P	
HSPA10~withdrawn	
RPL13AP26	
DO~withdrawn	
MPP7-DT	
CD57~withdrawn	
OSBPL9P6	
RIR~withdrawn	
FAM27E2	
CYP2C115P	
TAS2R49~withdrawn	
C14orf62~withdrawn	
FRA14B	
PARK4~withdrawn	
STO~withdrawn	
USH2B~withdrawn	
IGHV1-8	
RN7SL527P~withdrawn	
MIRN801~withdrawn	
ERVFC1-1	
CNCG3L~withdrawn	
DFNB4~withdrawn	
ERVT2~withdrawn	
TRQ-TTG2-1	
RNU6-124P~withdrawn	
CCT	
TRN-GTT6-1	
HLA-DVB~withdrawn	
HSCR2~withdrawn	
RPS6P19	
OR1L7~withdrawn	
MIR570HG	
TRV-CAC2-1	
SNRPCP12	
C2orf69P5	
RCP~withdrawn	
C1orf215~withdrawn	
CHEK2P1	
PCMTD1P5	
RBM22P11	
LINC02641	
RPS15AP13	
TRX-CAT3-1	
P2RY7~withdrawn	
CGM12~withdrawn	
G1P1~withdrawn	
EIF4G~withdrawn	
LINC00328	
OR2C2P~withdrawn	
ZNF388~withdrawn	
OR1F10~withdrawn	
MSBP2	
RPS21P3	
DFNB77~withdrawn	
C17orf9~withdrawn	
MPD1~withdrawn	
ZNF188~withdrawn	
RNU7-91P~withdrawn	
AEPLC~withdrawn	
RPL6P4	
ZNF128~withdrawn	
MIR302CHG	
CNA2~withdrawn	
RNU6-814P~withdrawn	
IDDM14	
HSST~withdrawn	
RPL17P23	
KWE	
NPT1~withdrawn	
BMIQ5	
CD49B~withdrawn	
RPL9P10	
MACOM	
DFNA23~withdrawn	
TRI-AAT4-1	
LETM1P3	
DUXAP8	
OR4F1~withdrawn	
TRA-CGC4-1	
ABCF2	
RPL7AP37	
DFNB36~withdrawn	
RNA18S3	
CMKRL1~withdrawn	
RN7SL433P~withdrawn	
FAM8A8P~withdrawn	
CCND2-AS2~withdrawn	
C17orf2~withdrawn	
OR2E1~withdrawn	
MYLL1~withdrawn	
MIR7641-2~withdrawn	
BSEP~withdrawn	
OR55B2P~withdrawn	
ZNF196~withdrawn	
HIVE1~withdrawn	
RNU6-459P~withdrawn	
OED	
OCP2~withdrawn	
ADMLY~withdrawn	
FCMTE1	
SCARNA28	
MCPH4~withdrawn	
TRE-CTC6-1	
TRN-GTT8-1	
RPL32P17	
PSIP1P1	
WBP1LP9	
LINC02666	
OTF3~withdrawn	
AGAP8~withdrawn	
MIR3607~withdrawn	
XAGE1D~withdrawn	
TRMEP1~withdrawn	
C21orf60~withdrawn	
SHFM5	
PHC~withdrawn	
KRT15L~withdrawn	
MIR1273D~withdrawn	
PXMP1~withdrawn	
IGFBP10~withdrawn	
CAL1L~withdrawn	
C14orf157~withdrawn	
XCE	
GTBP~withdrawn	
TRA-AGC2-1	
CTGLF8P~withdrawn	
PRKACN2~withdrawn	
CDL1	
TRR-TCG6-1	
LINC02683	
RPL21P86	
OR8G4~withdrawn	
RP32	
LINC02685	
VN1R43P	
RPL32P24	
PTMAP14	
PPIAP18	
RPS27AP4	
DNM1DN7@~withdrawn	
NMTRQ-TTG7-1	
TRS-AGA2-2	
MTH1~withdrawn	
GPR28~withdrawn	
RPS10P23	
RPS20P27	
CDC27P10	
PIRC23	
C6orf5~withdrawn	
C6orf212~withdrawn	
SNHG23~withdrawn	
LRP7~withdrawn	
RNA45S5	
LINC00464~withdrawn	
ZNF199~withdrawn	
C15orf6~withdrawn	
ZNF54B~withdrawn	
MIR5095~withdrawn	
PGL1~withdrawn	
GOV~withdrawn	
RPS17L3~withdrawn	
ERVK3-8	
PRO1~withdrawn	
RN7SL298P~withdrawn	
LPC1~withdrawn	
AVSD1	
MUC3B	
VMCM~withdrawn	
RPL7AP35	
EEGV1	
TRM-CAT4-2	
SNORA88	
RPS2P30	
VN1R63P	
LINC02649	
RPL36AP24	
GK6P	
C17orf1B~withdrawn	
TRM-CAT3-2	
TRE-TTC10-1	
RPS26P16	
LSM6P1	
LPGAT1P1	
NDUFB8P3	
SUMO2P11	
PIRC104	
BA2R~withdrawn	
DYT12~withdrawn	
LINC01059~withdrawn	
NCRNA00220~withdrawn	
IGHV7-77~withdrawn	
IGKV3OR2-268A~withdrawn	
MCO~withdrawn	
PSPC1-OT1~withdrawn	
PLXN1~withdrawn	
SPACR~withdrawn	
INSL2~withdrawn	
HNF6A~withdrawn	
ERVK-11	
PDZD5C~withdrawn	
RN7SL409P~withdrawn	
IDDM7	
TRY-GTA5-2	
CPETRL2~withdrawn	
ABCD1P1	
ZNF818P	
NMTRL-TAA2-1	
TRL-CAG2-1	
PLOSL~withdrawn	
TRL-AAG7-1	
LYPD9P	
RPL21P125	
LGMD2B~withdrawn	
PIRC71	
MHS1~withdrawn	
MNK~withdrawn	
FBXW10P1~withdrawn	
MIR9986	
MRT21~withdrawn	
RP16~withdrawn	
CTAG~withdrawn	
MSK38	
OR1F9~withdrawn	
HPRT2~withdrawn	
MIN3~withdrawn	
MEP1AL4~withdrawn	
IGHV3-43D	
VPP1~withdrawn	
RN7SL533P~withdrawn	
CORD4	
TNXB1~withdrawn	
HPV18I1	
SNORA110	
RPL19P10	
RNY5P6	
FAM8A10P	
ARPC3P4	
RPS14P10	
RPS26P17	
AD1~withdrawn	
MAPRE1P2	
TRS-GCT1-1	
IGKV1ORY-1	
TRK-CTT16-1	
STFB~withdrawn	
TRQ-TTG6-1	
HMGN1P29	
CCT6~withdrawn	
PIRC39	
C21orf83~withdrawn	
TRG-CCC4-1	
MDR3~withdrawn	
ANTP3~withdrawn	
MIR10399	
NHE3~withdrawn	
FRA9E	
DFNA6~withdrawn	
GTF3BAP1~withdrawn	
RNU3B3~withdrawn	
ERVW-16	
KAL3~withdrawn	
TRSUP-CTA2-1	
OR2A21~withdrawn	
RN7SL114P~withdrawn	
SEN6A	
CMKRL2~withdrawn	
RN7SL17P~withdrawn	
TS~withdrawn	
SNORD13G	
ZNF73	
TSC4~withdrawn	
RPL28P2	
RPL7AP5	
RPL31P27	
C1orf7~withdrawn	
TRL-AAG3-1	
RPL6P26	
AHDS~withdrawn	
SCA19~withdrawn	
C21orf15~withdrawn	
GPR94~withdrawn	
GSTPL~withdrawn	
MIR12123	
TYRO1~withdrawn	
DFNB79~withdrawn	
FRA11G	
DYRK1AIP1	
ACVRLK2~withdrawn	
MUCRX~withdrawn	
OR2B1P~withdrawn	
LMO7-IT1~withdrawn	
ERVK9-6	
TOC~withdrawn	
UMS~withdrawn	
TRV-TAC2-1	
ACMG~withdrawn	
RN7SL772P~withdrawn	
CDB2	
RNU6-1182P~withdrawn	
FKHL5~withdrawn	
TAN1~withdrawn	
NUDT19P2	
RPL31P25	
DDX11L3	
RPL21P26	
SCA22~withdrawn	
TRN-GTT9-2	
VN2R11P	
RPL13AP22	
MTATP8P3	
ACTBP3	
C22orf7~withdrawn	
CLK3P1	
PQLC1P2	
GAGE2C	
CTB~withdrawn	
CRS~withdrawn	
LINC02670	
PIRC83	
OPPG~withdrawn	
MIR3059	
KRT6D~withdrawn	
ANX1~withdrawn	
GJAL~withdrawn	
MRX58~withdrawn	
CHEL3~withdrawn	
OR5B6P~withdrawn	
MIR5686~withdrawn	
ERVH-4	
GHRF~withdrawn	
SFTPI~withdrawn	
RN7SL109P~withdrawn	
DFNA16	
OR2B4P	
RN7SL639P~withdrawn	
IGKVP1~withdrawn	
IBGC1	
AUNX1	
LMP2~withdrawn	
SNORD140	
TRK-TTT2-1	
ACS3~withdrawn	
HMGN2P42	
TRA-AGC18-2	
DDX11L13	
RPS16P7	
TTTY30P	
PIRC100	
RPS15AP14	
SRPSMCR~withdrawn	
ALS2CR1~withdrawn	
SNF2L3~withdrawn	
FKHRL1P1~withdrawn	
MXRA6~withdrawn	
DFNA51~withdrawn	
NEUROD3~withdrawn	
MTTER	
T3D~withdrawn	
FGS1~withdrawn	
SLC21A13~withdrawn	
SSXP2~withdrawn	
HSR1~withdrawn	
FRA1L	
RP~withdrawn	
TRQ-TTG4-1	
S8~withdrawn	
RN7SL829P~withdrawn	
RP24	
RN7SL161P~withdrawn	
SLEN2	
RAD51L3~withdrawn	
TRV-TAC3-1	
RPL36AP14	
ZNF968P	
CTNNG~withdrawn	
RPLP2P3	
IGLP1	
TRK-CTT8-1	
RPS15AP19	
TNFAIP5~withdrawn	
PIRC68	
VN2R6P	
RAB8IP~withdrawn	
OR7C3~withdrawn	
SNAR-B1	
ZNF325~withdrawn	
C6orf131~withdrawn	
MIC12	
HSAS1~withdrawn	
CHED2~withdrawn	
GUSM~withdrawn	
PCDHB@	
ERVK-6	
SLC9A3P4~withdrawn	
TRNAK10~withdrawn	
CALML2~withdrawn	
FRA4B	
OR4G5P~withdrawn	
ITPRIP-AS1	
MSK19~withdrawn	
RN7SL358P~withdrawn	
GPDS1	
RN7SL781P~withdrawn	
ICR5	
TRC-GCA19-1	
TRS-AGA2-1	
RPLP2P5	
LINC02617	
PTPN10~withdrawn	
RNU4-3P	
RPS12P14	
RPS25P8	
MUM1~withdrawn	
RPL35AP34	
EIF3EP3	
RPS2P31	
TRR-TCG1-1	
GPR166P	
TRV-AAC1-3	
PCNAP2	
RPS14P9	
SIAT7B~withdrawn	
PYHG10~withdrawn	
LINC01617	
ELF2P1	
LINC02639	
ATP5MGP8	
TRM2~withdrawn	
PTGES2-AS1	
GNPTA~withdrawn	
ZNF834~withdrawn	
PDGFR~withdrawn	
EPHT1~withdrawn	
SCA38~withdrawn	
SRML2~withdrawn	
TRW-CCA1-1	
ADAMTS7P2~withdrawn	
C21orf79~withdrawn	
FRA6F	
OR5B18P~withdrawn	
PNY2~withdrawn	
RNU6-691P~withdrawn	
USH1H	
SCA4~withdrawn	
RNU7-199P~withdrawn	
SLEB3	
PTK3B~withdrawn	
RPS18P11	
NFE2L3P2	
SEDL~withdrawn	
MRPS18CP2	
VN1R14P	
TRL-CAG1-7	
RPL34P2	
TRY-GTA5-4	
VN2R7P	
CO~withdrawn	
PRKMK5~withdrawn	
LINC02622	
PEPN~withdrawn	
LINC00593	
PMS2L8~withdrawn	
PTPN20A~withdrawn	
ALPPP	
CHS1~withdrawn	
S11	
RCH1~withdrawn	
DYT10~withdrawn	
PNI2~withdrawn	
RNU7-112P~withdrawn	
C17orf11~withdrawn	
FRA8C	
OR7E80P~withdrawn	
MSK30~withdrawn	
RN7SL31P~withdrawn	
CORD17	
ANTP4~withdrawn	
DYT2	
SEN1~withdrawn	
TNFR2~withdrawn	
RPS24P5	
CYP4A2~withdrawn	
COCA1~withdrawn	
MCTP1-AS1	
TRK-CTT11-1	
MTCO1P16	
SIGLEC25P	
VN1R26P	
RELA-DT	
OIAS~withdrawn	
HOX4I~withdrawn	
HMGN2P37	
MCKD1~withdrawn	
C14orf141~withdrawn	
ALS2CR18~withdrawn	
GLBA~withdrawn	
DFNA20~withdrawn	
OR9J1~withdrawn	
GAGE5	
GUC2C~withdrawn	
PFN1P7~withdrawn	
C17orf84~withdrawn	
FRA19A	
SNORD13B-2	
C1orf20~withdrawn	
VN1R16P	
LINC00273-2P~withdrawn	
IMD3~withdrawn	
HCL2	
PTP4A~withdrawn	
TRI-AAT5-1	
MAPTL~withdrawn	
NTRKR2~withdrawn	
CMH1~withdrawn	
C16orf2~withdrawn	
TRP-TGG3-3	
MTND4LP4	
TRK-CTT6-1	
ZNT3~withdrawn	
CACNLB3~withdrawn	
XGY2	
LINC02628	
SNORD164	
NSP~withdrawn	
LINC02668	
OR7A2~withdrawn	
C14orf61~withdrawn	
FRA12A	
RPL37AP6	
HSN1~withdrawn	
ZNF241~withdrawn	
TRV-AAC1-4	
GPR70~withdrawn	
MIRN672~withdrawn	
C16orf47	
OR13I2P~withdrawn	
ERVT3~withdrawn	
HTX2~withdrawn	
RNU6-427P~withdrawn	
SCAR2	
ZNF64~withdrawn	
RPL13AP9	
MIC5~withdrawn	
MRX82	
ADTB1~withdrawn	
SGLT2~withdrawn	
GTF3AP4	
YWHAQP1	
PI8~withdrawn	
DPPA4P1	
TRR-CCG1-1	
COILP2	
GTF2IP15	
TRV-AAC5-1	
RPL35AP2	
DYT21	
MMP22~withdrawn	
SC4MOP	
ERVK-26	
XPNPEP~withdrawn	
ANX5~withdrawn	
OR2I3P~withdrawn	
HCG12~withdrawn	
CORD1	
GCNF~withdrawn	
RNU7-5P	
SPG42~withdrawn	
C17orf8~withdrawn	
UGT1~withdrawn	
SPAR~withdrawn	
GATM-AS1~withdrawn	
ABC1~withdrawn	
EDA2~withdrawn	
TNFAIP7~withdrawn	
CSNB2~withdrawn	
RCC2-AS1	
RNU6-779P~withdrawn	
MRX42	
TRQ-TTG1-1	
ZNF647~withdrawn	
MTCO2P13	
RPL17P24	
BMIQ6	
TRN-GTT15-1	
ANGPT5~withdrawn	
RPL9P13	
SCYB9B~withdrawn	
RPL21P124	
DFNA27~withdrawn	
PLA2A~withdrawn	
TUBBP3	
PI9~withdrawn	
RPS21P7	
NMTRQ-TTG5-1	
MTCO1P36	
MRPS15P2	
NOVA3~withdrawn	
TRW-CCA3-2	
EIF3FP2	
HLA-X	
RPL39P27	
RNA18S2	
LYRM4-AS1	
EPMR~withdrawn	
TMEM257~withdrawn	
C6orf61~withdrawn	
MT7SDNA	
ARL5B-AS1~withdrawn	
SLC21A10~withdrawn	
NRASL1~withdrawn	
MIR1826~withdrawn	
OR5AK5P~withdrawn	
XBX1~withdrawn	
AGTBP~withdrawn	
NMTRS-TGA1-1	
HCP5P6~withdrawn	
CMTX2	
DLX6-AS2	
UQBP~withdrawn	
DUX4L40	
RPL21P51	
OR6Y2~withdrawn	
MYP9	
MTND2P37	
MRX74~withdrawn	
RPL27P1	
TRK-TTT3-2	
RPS2P54	
MRPS22P1	
MUC3~withdrawn	
TRS-AGA6-1	
ED3~withdrawn	
TRK-TTT4-1	
FAM90A22P	
HCG19P	
CDPX2~withdrawn	
MEAX~withdrawn	
LINC01395	
RPL18AP5	
ME3-DT	
HMGN2P43	
MKRN3-AS1	
EIF3A~withdrawn	
NBPF24~withdrawn	
MIR3647~withdrawn	
OR2AE2~withdrawn	
C6orf16~withdrawn	
OR7E135P~withdrawn	
UGALT~withdrawn	
EPLG6~withdrawn	
GJA2~withdrawn	
MIR3687-1~withdrawn	
ERV3-2	
DFNB7~withdrawn	
C16orf43~withdrawn	
AMLCR2	
FAM231AP~withdrawn	
ACLS	
LINC00367	
CMD1Q	
RPL7AP16	
VN1R45P	
ZNF11B~withdrawn	
SLC26A9-AS1	
C20orf113~withdrawn	
RPL32P25	
GOLGA4P3	
TRR-CCT6-2	
MTND6P35	
TRN-GTT16-3	
HLA-DRB7	
DHFRP4~withdrawn	
CDC26P1	
NT5CP3	
MAGE8~withdrawn	
PIRC31	
C6orf6~withdrawn	
PFIC1~withdrawn	
C6orf207~withdrawn	
MEIS1-AS1~withdrawn	
OR4F19~withdrawn	
RNA28S5	
RNU7P3~withdrawn	
C1orf134~withdrawn	
CDRT10	
DISC2	
PRSS17~withdrawn	
ZNF59~withdrawn	
MIR4417~withdrawn	
GUCA2~withdrawn	
ST13P~withdrawn	
POLR2J3	
ERVK-23	
EVR1~withdrawn	
TRV-CAC13-1	
RNU6-93P~withdrawn	
FSHMD1B	
RPL7AP47	
LINC02659	
C18orf58~withdrawn	
OR7E61~withdrawn	
TRH-GTG1-8	
SNORA89	
LINC02656	
RPL36AP28	
TRP-AGG5-1	
MTND4P37	
SOX30P1	
ZNF255~withdrawn	
MRT4	
MIR9899	
TRE-TTC7-1	
DUX4L42	
SDHDP5	
PIRC107	
RNY4P5	
LAG1~withdrawn	
PCNXL1~withdrawn	
PABPCP4~withdrawn	
ERICH1-AS1~withdrawn	
DEFT5P~withdrawn	
TCRAV5S1~withdrawn	
C14orf56~withdrawn	
LINC00329~withdrawn	
SH3D5~withdrawn	
TRG-CCC1-1	
RPL7AL1~withdrawn	
ERVK-3	
LD~withdrawn	
